Question,Answer,Party,Weight
How should the government approach gun control?,Implement strict gun control,Democrat,2
How should the government approach gun control?,Implement strict gun control,Libertarian,0
How should the government approach gun control?,Implement strict gun control,Independent,0
How should the government approach gun control?,Implement strict gun control,Republican,0
How should the government approach gun control?,Loosen gun ownership restrictions,Democrat,0
How should the government approach gun control?,Loosen gun ownership restrictions,Libertarian,1
How should the government approach gun control?,Loosen gun ownership restrictions,Independent,0
How should the government approach gun control?,Loosen gun ownership restrictions,Republican,2
How should the government approach gun control?,Enforce existing laws rigorously,Democrat,2
How should the government approach gun control?,Enforce existing laws rigorously,Libertarian,1
How should the government approach gun control?,Enforce existing laws rigorously,Independent,1
How should the government approach gun control?,Enforce existing laws rigorously,Republican,0
How should the government approach gun control?,Maintain current gun laws,Democrat,0
How should the government approach gun control?,Maintain current gun laws,Libertarian,0
How should the government approach gun control?,Maintain current gun laws,Independent,1
How should the government approach gun control?,Maintain current gun laws,Republican,0
What should be the government's role in healthcare?,Fully privatize healthcare,Democrat,0
What should be the government's role in healthcare?,Fully privatize healthcare,Libertarian,1
What should be the government's role in healthcare?,Fully privatize healthcare,Independent,0
What should be the government's role in healthcare?,Fully privatize healthcare,Republican,2
What should be the government's role in healthcare?,Implement universal healthcare,Democrat,2
What should be the government's role in healthcare?,Implement universal healthcare,Libertarian,0
What should be the government's role in healthcare?,Implement universal healthcare,Independent,0
What should be the government's role in healthcare?,Implement universal healthcare,Republican,0
What should be the government's role in healthcare?,Maintain private healthcare with regulations,Democrat,2
What should be the government's role in healthcare?,Maintain private healthcare with regulations,Libertarian,2
What should be the government's role in healthcare?,Maintain private healthcare with regulations,Independent,1
What should be the government's role in healthcare?,Maintain private healthcare with regulations,Republican,0
What should be the government's role in healthcare?,Keep current mixed system,Democrat,0
What should be the government's role in healthcare?,Keep current mixed system,Libertarian,0
What should be the government's role in healthcare?,Keep current mixed system,Independent,1
What should be the government's role in healthcare?,Keep current mixed system,Republican,1
What's your stance on environmental regulations?,Climate change is not a significant concern,Democrat,0
What's your stance on environmental regulations?,Climate change is not a significant concern,Libertarian,0
What's your stance on environmental regulations?,Climate change is not a significant concern,Independent,0
What's your stance on environmental regulations?,Climate change is not a significant concern,Republican,2
What's your stance on environmental regulations?,Increase regulations to combat climate change,Democrat,2
What's your stance on environmental regulations?,Increase regulations to combat climate change,Libertarian,0
What's your stance on environmental regulations?,Increase regulations to combat climate change,Independent,0
What's your stance on environmental regulations?,Increase regulations to combat climate change,Republican,0
What's your stance on environmental regulations?,Balance environmental protection with economic growth,Democrat,0
What's your stance on environmental regulations?,Balance environmental protection with economic growth,Libertarian,0
What's your stance on environmental regulations?,Balance environmental protection with economic growth,Independent,2
What's your stance on environmental regulations?,Balance environmental protection with economic growth,Republican,0
What's your stance on environmental regulations?,Reduce regulations to promote business growth,Democrat,0
What's your stance on environmental regulations?,Reduce regulations to promote business growth,Libertarian,1
What's your stance on environmental regulations?,Reduce regulations to promote business growth,Independent,0
What's your stance on environmental regulations?,Reduce regulations to promote business growth,Republican,2
